Time,Stress,VesselHeave,YieldStrength
90,47.9,-7.06,125
90.1,47.9,-7.06,125
90.2,47.9,-7.07,125
90.3,47.9,-7.08,125
90.4,48,-7.09,125
90.5,48,-7.1,125
90.6,48,-7.1,125
90.7,48,-7.11,125
90.8,48.1,-7.12,125
90.9,48.1,-7.13,125
91,48.1,-7.14,125
91.1,48.1,-7.14,125
91.2,48.2,-7.15,125
91.3,48.2,-7.16,125
91.4,48.2,-7.17,125
91.5,48.2,-7.18,125
91.6,48.3,-7.18,125
91.7,48.3,-7.19,125
91.8,48.3,-7.2,125
91.9,48.3,-7.21,125
92,48.4,-7.22,125
92.1,48.4,-7.22,125
92.2,48.4,-7.23,125
92.3,48.4,-7.24,125
92.4,48.5,-7.25,125
92.5,48.5,-7.26,125
92.6,48.5,-7.26,125
92.7,48.5,-7.27,125
92.8,48.6,-7.28,125
92.9,48.6,-7.29,125
93,48.6,-7.3,125
93.1,48.6,-7.3,125
93.2,48.7,-7.31,125
93.3,48.7,-7.32,125
93.4,48.7,-7.33,125
93.5,48.7,-7.34,125
93.6,48.7,-7.34,125
93.7,48.8,-7.35,125
93.8,48.8,-7.36,125
93.9,48.8,-7.37,125
94,48.8,-7.38,125
94.1,48.9,-7.38,125
94.2,48.9,-7.39,125
94.3,48.9,-7.4,125
94.4,48.9,-7.41,125
94.5,49,-7.42,125
94.6,49,-7.42,125
94.7,49,-7.43,125
94.8,49,-7.44,125
94.9,49.1,-7.45,125
95,49.1,-7.46,125
95.1,49.1,-7.46,125
95.2,49.1,-7.47,125
95.3,49.2,-7.48,125
95.4,49.2,-7.49,125
95.5,49.2,-7.5,125
95.6,49.2,-7.5,125
95.7,49.3,-7.51,125
95.8,49.3,-7.52,125
95.9,49.3,-7.53,125
96,49.3,-7.54,125
96.1,49.4,-7.54,125
96.2,49.4,-7.55,125
96.3,49.4,-7.56,125
96.4,49.4,-7.57,125
96.5,49.5,-7.58,125
96.6,49.5,-7.58,125
96.7,49.5,-7.59,125
96.8,49.5,-7.6,125
96.9,49.6,-7.61,125
97,49.6,-7.62,125
97.1,49.6,-7.62,125
97.2,49.6,-7.63,125
97.3,49.6,-7.64,125
97.4,49.7,-7.65,125
97.5,49.7,-7.66,125
97.6,49.7,-7.66,125
97.7,49.7,-7.67,125
97.8,49.8,-7.68,125
97.9,49.8,-7.69,125
98,49.8,-7.7,125
98.1,49.8,-7.7,125
98.2,49.9,-7.71,125
98.3,49.9,-7.72,125
98.4,49.9,-7.73,125
98.5,49.9,-7.74,125
