Riser Length,"ET, Stretch","ET,Slack"
0,0,0
3.936,-272.032959,-283.3092957
10.824,-657.9902954,-690.4205933
16.728,-884.307312,-936.8428345
22.95904373,-1006.103577,-1070.932983
29.5171312,12892.89258,1373.80603
36.07521866,12895.87207,1360.77417
42.63330612,12887.26465,1346.577515
49.19139359,12876.20508,1331.617676
55.74948105,12865.2041,1316.155273
62.30756851,12854.70898,1300.361084
68.86565598,12844.69922,1284.346924
75.42374344,12835.0791,1268.187378
81.9818309,12825.76465,1251.932129
88.53991837,12816.69824,1235.614746
95.09800583,12807.83984,1219.258301
101.6560933,12799.16113,1218.943237
108.2141808,12790.6416,1220.719849
114.7722682,12782.26465,1222.37207
121.3303557,12774.01758,1224.422119
127.8884431,12765.88965,1226.519287
134.4465306,12757.87109,1228.506836
141.0046181,12749.95215,1230.390503
147.5627055,12742.12793,1232.176025
154.120793,12734.39063,1233.868896
160.6788805,12726.7334,1235.474243
167.2369679,12719.15039,1236.996216
173.7950554,12711.63281,1238.438354
180.3531429,12704.17578,1239.803101
186.9112303,12696.77148,1241.091797
193.4693178,12689.41504,1242.305664
200.0274052,12682.10156,1243.445557
206.5854927,12674.8252,1244.512817
213.1435802,12667.58203,1245.509277
219.7016676,12660.36816,1246.437378
226.2597551,12653.17871,1247.299072
232.8178426,12646.00781,1248.096802
239.37593,12638.85059,1248.832031
245.9340175,12631.7041,1249.506104
252.492105,12624.56348,1250.119629
259.0501924,12617.42676,1250.673706
265.6082799,12610.29102,1251.169312
272.1663673,12603.1543,1251.60791
278.7244548,12596.01563,1251.991089
285.2825423,12588.87012,1252.321045
291.8406297,12581.71777,1252.599976
298.3987172,12574.55371,1252.830322
304.9568047,12567.37793,1253.013916
311.5148921,12560.18652,1253.152832
318.0729796,12552.97754,1253.248657
324.6310671,12545.75098,1253.302734
331.1891545,12538.50293,1253.316528
337.747242,12531.23438,1253.291138
344.3053294,12523.94434,1253.227417
350.8634169,12516.62988,1253.126221
357.4215044,12509.29102,1252.988281
363.9795918,12501.92773,1252.814331
370.5376793,12494.53711,1252.60498
377.0957668,12487.12012,1252.36084
383.6538542,12479.67285,1252.08252
390.2119417,12472.19629,1251.770752
396.7700292,12464.68848,1251.426392
403.3281166,12457.14844,1251.050293
409.8862041,12449.5752,1250.643433
416.4442915,12441.96777,1250.206787
423.002379,12434.32617,1249.741333
429.5604665,12426.64746,1249.248413
436.1185539,12418.93262,1248.729126
442.6766414,12411.18066,1248.184692
449.2347289,12403.38965,1247.616211
455.7928163,12395.55957,1247.024658
462.3509038,12387.69043,1246.411377
468.9089913,12379.78027,1245.776978
475.4670787,12371.8291,1245.122559
482.0251662,12363.83691,1244.44873
488.5832536,12355.80273,1243.756104
495.1413411,12347.72656,1243.045044
501.6994286,12339.60742,1242.315796
508.257516,12331.44434,1241.568726
514.8156035,12323.23926,1240.803955
521.373691,12314.98926,1240.021729
527.9317784,12306.69629,1239.222412
534.4898659,12298.3584,1238.406128
541.0479534,12289.97656,1237.573364
547.6060408,12281.5498,1236.724487
554.1641283,12273.0791,1235.859863
560.7222157,12264.56348,1234.980103
567.2803032,12256.00391,1234.085693
573.8383907,12247.39844,1233.177246
580.3964781,12238.74902,1232.255371
586.9545656,12230.05469,1231.320435
593.5126531,12221.31641,1230.373047
600.0707405,12212.53223,1229.413696
606.628828,12203.70508,1228.442871
613.1869155,12194.83301,1227.460938
619.7450029,12185.91602,1226.46814
626.3030904,12176.95508,1225.464844
632.8611778,12167.9502,1224.451294
639.4192653,12158.90137,1223.427734
645.9773528,12149.80859,1222.394531
652.5354402,12140.67188,1221.351685
659.0935277,12131.49219,1220.299561
665.6516152,12122.26855,1219.238403
672.2097026,12113.00195,1218.168335
678.7677901,12103.69238,1217.089722
685.3258776,12094.33984,1216.002686
691.883965,12084.94531,1214.907593
698.4420525,12075.50781,1213.804565
705.0001399,12066.0293,1212.694092
711.5582274,12056.50781,1211.576172
718.1163149,12046.94531,1210.45105
724.6744023,12037.3418,1209.319092
731.2324898,12027.69727,1208.18042
737.7905773,12018.0127,1207.035278
744.3486647,12008.28711,1205.883667
750.9067522,11998.52148,1204.725952
757.4648397,11988.7168,1203.562012
764.0229271,11978.87207,1202.392212
770.5810146,11968.98926,1201.216431
777.139102,11959.06738,1200.035034
783.6971895,11949.10742,1198.8479
790.255277,11939.10938,1197.655151
796.8133644,11929.07324,1196.457031
803.3714519,11919.00098,1195.25354
809.9295394,11908.8916,1194.044678
816.4876268,11898.74609,1192.830811
823.0457143,11888.56445,1191.611694
829.6038017,11878.34766,1190.387817
836.1618892,11868.0957,1189.158936
842.7199767,11857.80859,1187.925415
849.2780641,11847.48828,1186.687256
855.8361516,11837.13379,1185.444458
862.3942391,11826.74609,1184.197144
868.9523265,11816.3252,1182.945435
875.510414,11805.87207,1181.689453
882.0685015,11795.38672,1180.429077
888.6265889,11784.87012,1179.164673
895.1846764,11774.32227,1177.895996
901.7427638,11763.74316,1177.018555
908.3008513,11753.13379,1176.374634
914.8589388,11742.49414,1175.728516
921.4170262,11731.8252,1175.0802
927.9751137,11721.12695,1174.42981
934.5332012,11710.39941,1173.777466
941.0912886,11699.64453,1173.123169
947.6493761,11688.86035,1172.466919
954.2074636,11678.0498,1171.80896
960.765551,11667.21094,1171.149048
967.3236385,11656.3457,1170.487549
973.8817259,11645.4541,1169.824341
980.4398134,11634.53711,1169.159424
986.9979009,11623.59375,1168.493042
993.5559883,11612.625,1167.825195
1000.114076,11601.63184,1167.155762
1006.672163,11590.61426,1166.484985
1013.230251,11579.57324,1165.812744
1019.788338,11568.50781,1165.139282
1026.346426,11557.41895,1164.464478
1032.904513,11546.30859,1163.78833
1039.462601,11535.1748,1163.111084
1046.020688,11524.01953,1162.432617
1052.578776,11512.8418,1161.753052
1059.136863,11501.64453,1161.072266
1065.69495,11490.97559,1160.390503
1072.253038,11488.12012,1159.707764
1078.811125,11485.24512,1159.023926
1085.369213,11482.35059,1158.339111
1091.9273,11479.4375,1157.653442
1098.485388,11476.50391,1156.966919
1105.043475,11473.55078,1156.279541
1111.601563,11470.57813,1155.591309
1118.15965,11467.58691,1154.902344
1124.717738,11464.5752,1154.212524
1131.275825,11461.54395,1153.522095
1137.833913,11458.49219,1152.830933
1144.392,11455.42188,1152.13916
1150.950087,11452.33105,1151.446777
1157.508175,11449.2207,1150.753784
1164.066262,11446.08984,1150.060303
1170.62435,11442.93945,1149.366211
1177.182437,11439.76855,1148.671631
1183.740525,11436.57813,1147.976563
1190.298612,11433.36621,1147.281128
1196.8567,11430.13477,1146.585205
