MooringLineLength,Static,Wind,Current,All
0,738.2858292,867.520686,872.0896247,1028.671218
5,733.6132116,862.9911681,867.4916181,1024.05141
15,725.3016792,854.9080976,859.6497515,1014.885859
25,717.3063599,847.149652,852.2270801,1007.602255
35,709.3962534,839.4677585,844.8961917,1000.565232
45,701.5741969,831.8643584,837.6594753,993.4129316
55,693.8432762,824.3417411,830.5184741,986.2370389
65,686.2064778,816.9020471,823.4752286,979.13292
75,678.6669872,809.5476654,816.5322276,972.1145117
85,671.2281393,802.2808857,809.6907154,965.1764383
95,663.8932192,795.104097,802.9320269,958.3042654
105,660.1832772,791.4692637,799.5005196,954.8053644
115,660.0180779,791.3073494,799.3372615,954.6345406
125,659.8529283,791.1454351,799.1741029,954.4626218
135,659.6878285,790.9836204,799.0110936,954.2898071
145,659.5228283,790.8218057,798.8482336,954.1159969
155,659.3578778,790.6600905,798.6854732,953.9411912
165,659.1929273,790.4984252,798.5228123,953.7654896
175,659.0280764,790.3367598,798.3603008,953.5888921
185,658.8633251,790.1751939,798.197839,953.4113986
195,658.6985737,790.0136281,798.0355266,953.2331088
205,658.5338721,789.8521618,797.8733137,953.053923
215,658.36927,789.6907453,797.7112003,952.8738413
225,658.2047178,789.5293287,797.5491865,952.6928636
235,658.0402153,789.3680118,797.3872225,952.5109901
245,657.8757625,789.2066948,797.225358,952.3283201
255,657.7113596,789.0454774,797.0636428,952.1446547
265,657.5470064,788.8842599,796.9019276,951.9601929
275,657.3827528,788.723142,796.7403618,951.7747356
285,657.2185489,788.5620242,796.5788457,951.5883824
295,657.0543948,788.4010058,796.4174292,951.4010337
305,656.8902905,788.2399875,796.2560625,951.2127891
315,656.726236,788.0790687,796.0947953,951.023549
325,656.5622312,787.9181499,795.9336276,950.8333134
335,656.398326,787.7573307,795.7725097,950.6421819
345,656.2344208,787.5965115,795.6114416,950.450055
355,656.0706151,787.4357918,795.4504731,950.2569325
365,655.9068592,787.2750721,795.289604,950.0629141
375,655.7432029,787.1144519,795.1287848,949.8679003
385,655.5795465,786.9538318,794.9680153,949.67209
395,655.4159897,786.7933112,794.8073454,949.4753839
405,655.2524329,786.6327906,794.6467253,949.2777818
415,655.0889757,786.4723198,794.4861549,949.0793833
425,654.9255682,786.3119485,794.3256841,948.8801884
435,654.7622603,786.1515772,794.165263,948.6801972
445,654.5989524,785.9913055,794.0048918,948.4794096
455,654.435744,785.8310338,793.84462,948.277726
465,654.2725356,785.6708616,793.6843981,948.0753456
475,654.1094268,785.5107392,793.5242259,947.8721689
485,653.9464175,785.3506168,793.3641035,947.6681957
495,653.7834082,785.1905939,793.2040807,947.4634262
505,653.6204487,785.0305711,793.0441076,947.2578603
515,653.4575887,784.8706478,792.8841843,947.0513984
525,653.2947785,784.7107245,792.7243605,946.8441402
535,653.1320181,784.5509007,792.5645367,946.6360856
545,652.9693075,784.3910769,792.4048125,946.4271351
555,652.8066964,784.2313527,792.2451381,946.2173882
565,652.6440853,784.0716783,792.0855632,946.0067453
575,652.4815737,783.9120039,791.9259883,945.7953061
585,652.319112,783.752429,791.766513,945.5831701
595,652.1567497,783.5928541,791.6070874,945.3701381
605,651.9943875,783.4333787,791.4477116,945.1564093
615,651.8320751,783.2739532,791.2883856,944.9419836
625,651.6698621,783.1145774,791.1291093,944.7268611
635,651.507699,782.9552016,790.9699326,944.5111414
645,651.3455857,782.7959253,790.8108057,944.2947248
655,651.1835719,782.6366988,790.6517285,944.0777109
665,651.021558,782.4774724,790.4927012,943.8601993
675,650.8596438,782.3183454,790.3337236,943.6419908
685,650.6977793,782.1592683,790.1747957,943.4232846
695,650.5359646,782.0002409,790.0159674,943.2040807
705,650.3741996,781.8412633,789.8571392,942.9842794
715,650.2125342,781.6823355,789.6984104,942.7638809
725,650.0509186,781.5234076,789.5397315,942.5429847
735,649.8893528,781.3645794,789.3811023,942.3213916
745,649.7278367,781.2058008,789.2225229,942.0992012
755,649.5663704,781.0470721,789.0639932,941.8764136
765,649.4050037,780.8883931,788.9055133,941.6530286
775,649.2436867,780.729764,788.747133,941.4289469
785,649.0824195,780.5711845,788.5888025,941.2041683
795,648.9212021,780.4126549,788.4304719,940.9787924
805,648.7600344,780.254175,788.2722409,940.7527196
815,648.5989663,780.0957947,788.1140597,940.5260496
825,648.437948,779.9374144,787.9559283,940.2986828
835,648.2769794,779.7790838,787.7978466,940.0708182
845,648.1160606,779.6208031,787.6398645,939.8422568
855,647.9551916,779.4625721,787.4818823,939.6130981
865,647.7944221,779.3043908,787.32395,939.3834416
875,647.6337025,779.1463092,787.1661172,939.1532875
