Riser Length,"ET, Stretch","ET,Slack"
0,0,0
3.936,-272.032959,-283.3092957
10.824,-657.9902954,-690.4205933
16.728,-884.307312,-936.8428345
22.95904373,-1006.103577,-1070.932983
29.5171312,12892.89258,1373.80603
36.07521866,12895.87207,1360.77417
42.63330612,12887.26465,1346.577515
49.19139359,12876.20508,1331.617676
55.74948105,12865.2041,1316.155273
62.30756851,12854.70898,1300.361084
68.86565598,12844.69922,1284.346924
75.42374344,12835.0791,1268.187378
81.9818309,12825.76465,1251.932129
88.53991837,12816.69824,1235.614746
95.09800583,12807.83984,1219.258301
101.6560933,12799.16113,1218.943237
